id,title,genre_0,genre_1,genre_2,genre_3,genre_4,genre_5,genre_6,year_norm,rating_norm,duration_norm
0,Movie_0,0.1,0.42,0.21,0.05,0.04,0.16,0.03,0.49,0.89,0.12
1,Movie_1,0.07,0.14,0.08,0.0,0.32,0.32,0.05,0.03,0.59,0.6
2,Movie_2,0.1,0.42,0.21,0.01,0.04,0.04,0.19,0.64,0.53,0.18
3,Movie_3,0.19,0.02,0.0,0.56,0.03,0.11,0.08,0.32,0.27,0.02
4,Movie_4,0.3,0.08,0.26,0.19,0.02,0.13,0.02,0.37,0.62,0.03
5,Movie_5,0.01,0.31,0.11,0.03,0.14,0.15,0.25,0.17,0.09,0.71
6,Movie_6,0.25,0.19,0.05,0.07,0.17,0.12,0.16,0.71,0.02,0.89
7,Movie_7,0.31,0.23,0.07,0.17,0.18,0.03,0.01,0.73,0.36,0.08
8,Movie_8,0.08,0.25,0.02,0.03,0.3,0.02,0.3,0.35,0.78,0.83
9,Movie_9,0.03,0.11,0.34,0.03,0.07,0.4,0.03,0.63,0.66,0.88
10,Movie_10,0.04,0.23,0.37,0.12,0.02,0.19,0.02,0.36,0.97,0.51
11,Movie_11,0.01,0.08,0.46,0.31,0.09,0.02,0.03,0.96,0.76,0.52
12,Movie_12,0.12,0.11,0.11,0.02,0.25,0.15,0.23,0.97,0.28,0.44
13,Movie_13,0.22,0.03,0.33,0.21,0.0,0.02,0.19,0.97,0.09,0.67
14,Movie_14,0.41,0.11,0.2,0.16,0.05,0.07,0.0,0.29,0.72,0.84
15,Movie_15,0.02,0.1,0.14,0.02,0.16,0.12,0.44,0.76,0.68,0.23
16,Movie_16,0.19,0.07,0.09,0.01,0.32,0.23,0.08,0.31,0.8,0.76
17,Movie_17,0.08,0.24,0.13,0.23,0.12,0.08,0.12,0.55,0.67,0.74
18,Movie_18,0.32,0.3,0.06,0.07,0.11,0.08,0.07,0.33,0.58,0.12
19,Movie_19,0.12,0.02,0.0,0.03,0.5,0.22,0.11,0.16,0.43,0.81
20,Movie_20,0.01,0.49,0.16,0.24,0.06,0.03,0.02,0.47,0.94,0.39
21,Movie_21,0.17,0.02,0.1,0.15,0.09,0.18,0.29,1.0,0.33,0.52
22,Movie_22,0.03,0.05,0.05,0.13,0.3,0.22,0.22,0.48,0.54,0.64
23,Movie_23,0.24,0.03,0.03,0.03,0.38,0.1,0.19,0.93,0.22,0.21
24,Movie_24,0.54,0.05,0.01,0.07,0.11,0.17,0.05,0.17,0.62,0.17
25,Movie_25,0.24,0.16,0.25,0.04,0.05,0.17,0.09,0.84,0.24,0.77
26,Movie_26,0.41,0.18,0.02,0.02,0.05,0.2,0.12,0.24,0.92,0.84
27,Movie_27,0.03,0.0,0.09,0.33,0.1,0.37,0.08,0.16,0.95,0.23
28,Movie_28,0.53,0.08,0.2,0.04,0.01,0.14,0.01,0.76,0.98,0.08
29,Movie_29,0.23,0.37,0.06,0.05,0.13,0.16,0.01,0.71,0.39,0.23
30,Movie_30,0.25,0.05,0.02,0.1,0.14,0.13,0.32,0.37,0.69,0.31
31,Movie_31,0.11,0.07,0.1,0.13,0.29,0.07,0.24,0.09,0.54,0.63
32,Movie_32,0.12,0.24,0.06,0.02,0.01,0.1,0.44,0.15,0.35,0.53
33,Movie_33,0.05,0.07,0.22,0.07,0.29,0.0,0.3,0.83,0.19,0.11
34,Movie_34,0.04,0.45,0.17,0.19,0.07,0.04,0.04,0.44,0.47,0.28
35,Movie_35,0.38,0.1,0.0,0.17,0.18,0.16,0.02,0.77,0.95,0.31
36,Movie_36,0.04,0.3,0.18,0.23,0.02,0.17,0.06,0.15,0.1,0.75
37,Movie_37,0.07,0.03,0.03,0.07,0.36,0.24,0.2,0.28,0.69,0.79
38,Movie_38,0.07,0.04,0.13,0.27,0.09,0.01,0.39,0.4,0.25,0.59
39,Movie_39,0.1,0.02,0.27,0.07,0.02,0.46,0.06,0.28,0.9,0.63
40,Movie_40,0.09,0.23,0.01,0.11,0.4,0.16,0.01,0.57,0.66,0.59
41,Movie_41,0.03,0.31,0.12,0.09,0.0,0.37,0.08,0.28,0.9,0.98
42,Movie_42,0.09,0.2,0.15,0.21,0.02,0.11,0.22,0.69,0.07,0.91
43,Movie_43,0.16,0.06,0.08,0.07,0.22,0.37,0.04,0.4,0.55,0.6
44,Movie_44,0.01,0.02,0.08,0.11,0.39,0.36,0.03,0.69,0.3,0.79
